date,week_start,channel,source,campaign,segment,stage,stage_order,stage_count,cost,revenue,channel_index,campaign_index,week_index
2026-01-19,2026-01-19,Organic,Organic Search,Organic Campaign 1,Smb,Visitor,1,1452,743.7,0.0,0,1,1
2026-01-19,2026-01-19,Organic,Organic Search,Organic Campaign 1,Smb,Lead,2,171,0.0,0.0,0,1,1
2026-01-19,2026-01-19,Organic,Organic Search,Organic Campaign 1,Smb,MQL,3,87,0.0,0.0,0,1,1
2026-01-19,2026-01-19,Organic,Organic Search,Organic Campaign 1,Smb,SQL,4,47,0.0,0.0,0,1,1
2026-01-19,2026-01-19,Organic,Organic Search,Organic Campaign 1,Smb,Opportunity,5,20,0.0,0.0,0,1,1
2026-01-19,2026-01-19,Organic,Organic Search,Organic Campaign 1,Smb,Customer,6,5,0.0,7258.13,0,1,1
2026-01-19,2026-01-19,Paid Search,Paid Search,Paid Search Campaign 2,Enterprise,Visitor,1,1791,2052.22,0.0,4,2,1
2026-01-19,2026-01-19,Paid Search,Paid Search,Paid Search Campaign 2,Enterprise,Lead,2,237,0.0,0.0,4,2,1
2026-01-19,2026-01-19,Paid Search,Paid Search,Paid Search Campaign 2,Enterprise,MQL,3,126,0.0,0.0,4,2,1
2026-01-19,2026-01-19,Paid Search,Paid Search,Paid Search Campaign 2,Enterprise,SQL,4,53,0.0,0.0,4,2,1
2026-01-19,2026-01-19,Paid Search,Paid Search,Paid Search Campaign 2,Enterprise,Opportunity,5,20,0.0,0.0,4,2,1
2026-01-19,2026-01-19,Paid Search,Paid Search,Paid Search Campaign 2,Enterprise,Customer,6,6,0.0,6899.75,4,2,1
2026-01-19,2026-01-19,Paid Search,Paid Search,Paid Search Campaign 2,Smb,Visitor,1,2049,2563.17,0.0,4,2,1
2026-01-19,2026-01-19,Paid Search,Paid Search,Paid Search Campaign 2,Smb,Lead,2,287,0.0,0.0,4,2,1
2026-01-19,2026-01-19,Paid Search,Paid Search,Paid Search Campaign 2,Smb,MQL,3,134,0.0,0.0,4,2,1
2026-01-19,2026-01-19,Paid Search,Paid Search,Paid Search Campaign 2,Smb,SQL,4,68,0.0,0.0,4,2,1
2026-01-19,2026-01-19,Paid Search,Paid Search,Paid Search Campaign 2,Smb,Opportunity,5,33,0.0,0.0,4,2,1
2026-01-19,2026-01-19,Paid Search,Paid Search,Paid Search Campaign 2,Smb,Customer,6,10,0.0,15689.08,4,2,1
2026-01-19,2026-01-19,Paid Social,paid_social,Paid Social Campaign 2,Enterprise,Visitor,1,1969,3739.6,0.0,1,2,1
2026-01-19,2026-01-19,Paid Social,paid_social,Paid Social Campaign 2,Enterprise,Lead,2,155,0.0,0.0,1,2,1
2026-01-19,2026-01-19,Paid Social,paid_social,Paid Social Campaign 2,Enterprise,MQL,3,66,0.0,0.0,1,2,1
2026-01-19,2026-01-19,Paid Social,paid_social,Paid Social Campaign 2,Enterprise,SQL,4,25,0.0,0.0,1,2,1
2026-01-19,2026-01-19,Paid Social,paid_social,Paid Social Campaign 2,Enterprise,Opportunity,5,0,0.0,0.0,1,2,1
2026-01-19,2026-01-19,Paid Social,paid_social,Paid Social Campaign 2,Enterprise,Customer,6,0,0.0,0.0,1,2,1
2026-01-19,2026-01-19,Referral,partner,Referral Campaign 2,Enterprise,Visitor,1,1060,191.87,0.0,3,2,1
2026-01-19,2026-01-19,Referral,partner,Referral Campaign 2,Enterprise,Lead,2,207,0.0,0.0,3,2,1
2026-01-19,2026-01-19,Referral,partner,Referral Campaign 2,Enterprise,MQL,3,121,0.0,0.0,3,2,1
2026-01-19,2026-01-19,Referral,partner,Referral Campaign 2,Enterprise,SQL,4,70,0.0,0.0,3,2,1
2026-01-19,2026-01-19,Referral,partner,Referral Campaign 2,Enterprise,Opportunity,5,31,0.0,0.0,3,2,1
2026-01-19,2026-01-19,Referral,partner,Referral Campaign 2,Enterprise,Customer,6,14,0.0,28151.54,3,2,1
