date,week_start,channel,source,campaign,segment,stage,stage_order,stage_count,cost,revenue,channel_index,campaign_index,week_index
2026-01-19,2026-01-19,Organic,Organic Search,Organic Campaign 1,SMB,Visitor,1,1452.0,743.7,0.0,0,1,1
2026-01-19,2026-01-19,Organic,Organic Search,Organic Campaign 1,SMB,Lead,2,171.0,0.0,0.0,0,1,1
2026-01-19,2026-01-19,Organic,Organic Search,Organic Campaign 1,SMB,MQL,3,87.0,0.0,0.0,0,1,1
2026-01-19,2026-01-19,Organic,Organic Search,Organic Campaign 1,SMB,SQL,4,47.0,0.0,,0,1,1
2026-01-19,2026-01-19,Organic,Organic Search,Organic Campaign 1,SMB,Opportunity,5,20.0,0.0,0.0,0,1,1
2026-01-19,2026-01-19,Organic,Organic Search,Organic Campaign 1,SMB,Customer,6,5.0,0.0,7258.13,0,1,1
2026-01-23,2026-01-19,Organic,organic,Organic Campaign 1,Enterprise,Visitor,1,1143.0,586.4,0.0,0,1,1
2026-01-23,2026-01-19,Organic,organic,Organic Campaign 1,Enterprise,Lead,2,121.0,0.0,0.0,0,1,1
2026-01-23,2026-01-19,Organic,organic,Organic Campaign 1,Enterprise,MQL,3,62.0,0.0,0.0,0,1,1
2026-01-23,2026-01-19,Organic,organic,Organic Campaign 1,Enterprise,SQL,4,29.0,0.0,0.0,0,1,1
2026-01-23,2026-01-19,Organic,organic,Organic Campaign 1,Enterprise,Opportunity,5,9.0,0.0,0.0,0,1,1
2026-01-23,2026-01-19,Organic,organic,Organic Campaign 1,Enterprise,Customer,6,1.0,0.0,1284.57,0,1,1
2026-01-22,2026-01-19,Organic,organic,Organic Campaign 2,SMB,visitor,1,1659.0,889.12,0.0,0,2,1
2026-01-22,2026-01-19,Organic,organic,Organic Campaign 2,SMB,Lead,2,164.0,0.0,,0,2,1
2026-01-22,2026-01-19,Organic,organic,Organic Campaign 2,SMB,MQL,3,87.0,0.0,0.0,0,2,1
2026-01-22,2026-01-19,Organic,organic,Organic Campaign 2,SMB,SQL,4,34.0,0.0,0.0,0,2,1
2026-01-22,2026-01-19,Organic,organic,Organic Campaign 2,SMB,Opportunity,5,15.0,0.0,0.0,0,2,1
2026-01-22,2026-01-19,Organic,organic,Organic Campaign 2,SMB,Customer,6,5.0,0.0,6670.74,0,2,1
2026-01-20,2026-01-19,Organic,Organic Search,Organic Campaign 2,Enterprise,Visitor,1,1255.0,627.67,0.0,0,2,1
2026-01-20,2026-01-19,Organic,Organic Search,Organic Campaign 2,Enterprise,Lead,2,138.0,0.0,,0,2,1
2026-01-20,2026-01-19,Organic,Organic Search,Organic Campaign 2,Enterprise,MQL,3,69.0,0.0,0.0,0,2,1
2026-01-20,2026-01-19,Organic,Organic Search,Organic Campaign 2,Enterprise,SQL,4,25.0,0.0,0.0,0,2,1
2026-01-20,2026-01-19,Organic,Organic Search,Organic Campaign 2,Enterprise,Opportunity,5,9.0,0.0,0.0,0,2,1
2026-01-20,2026-01-19,Organic,Organic Search,Organic Campaign 2,Enterprise,Customer,6,4.0,0.0,5085.11,0,2,1
2026-01-22,2026-01-19,Paid Social,paid_social,Paid Social Campaign 1,SMB,Visitor,1,2220.0,4034.42,0.0,1,1,1
2026-01-22,2026-01-19,Paid Social,paid_social,Paid Social Campaign 1,SMB,Lead,2,179.0,0.0,0.0,1,1,1
2026-01-22,2026-01-19,Paid Social,paid_social,Paid Social Campaign 1,SMB,MQL,3,70.0,0.0,0.0,1,1,1
2026-01-22,2026-01-19,Paid Social,paid_social,Paid Social Campaign 1,SMB,SQL,4,29.0,0.0,0.0,1,1,1
2026-01-22,2026-01-19,Paid Social,paid_social,Paid Social Campaign 1,SMB,Opportunity,5,7.0,0.0,0.0,1,1,1
2026-01-22,2026-01-19,Paid Social,paid_social,Paid Social Campaign 1,SMB,Customer,6,1.0,0.0,1358.05,1,1,1
2026-01-25,2026-01-19,Paid Social,paid_social,Paid Social Campaign 1,Enterprise,Visitor,1,1486.0,2557.76,0.0,1,1,1
2026-01-25,2026-01-19,Paid Social,paid_social,Paid Social Campaign 1,Enterprise,Lead,2,98.0,0.0,0.0,1,1,1
2026-01-25,2026-01-19,Paid Social,paid_social,Paid Social Campaign 1,Enterprise,MQL,3,36.0,0.0,0.0,1,1,1
